,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
0,3 Idiots,['1187043'],25 Dec 2009,"Comedy, Drama","Aamir Khan, Madhavan, Mona Singh","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,"360,710",2009
1,Taare Zameen Par,['0986264'],21 Dec 2007,"Drama, Family","Darsheel Safary, Aamir Khan, Tisca Chopra","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",8.4,"178,164",2007
2,PK,['2338151'],19 Dec 2014,"Comedy, Drama, Musical","Aamir Khan, Anushka Sharma, Sanjay Dutt",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,8.1,"170,150",2014
3,Dangal,['5074352'],21 Dec 2016,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.4,"166,872",2016
4,Rang De Basanti,['0405508'],26 Jan 2006,"Comedy, Crime, Drama","Aamir Khan, Soha Ali Khan, Siddharth","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",8.1,"115,406",2006
5,Lagaan: Once Upon a Time in India,['0169102'],15 Jun 2001,"Drama, Musical, Sport","Aamir Khan, Raghuvir Yadav, Gracy Singh",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,8.1,"107,694",2001
6,My Name Is Khan,['1188996'],12 Feb 2010,Drama,"Shah Rukh Khan, Kajol, Sheetal Menon",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,8.0,"101,395",2010
7,"Swades: We, the People",['0367110'],17 Dec 2004,Drama,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,8.2,"86,240",2004
8,Gangs of Wasseypur,['1954470'],22 Jun 2012,"Action, Crime, Drama","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui",,8.2,"88,161",2012
9,Barfi!,['2082197'],14 Sep 2012,"Comedy, Drama, Romance","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz",Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,8.1,"78,102",2012
10,Chak De! India,['0871510'],10 Aug 2007,"Drama, Family, Sport","Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",8.2,"76,137",2007
11,Munna Bhai M.B.B.S.,['0374887'],19 Dec 2003,"Comedy, Drama","Sanjay Dutt, Arshad Warsi, Gracy Singh",A gangster sets out to fulfill his father's dream of becoming a doctor.,8.1,"76,238",2003
12,Bajrangi Bhaijaan,['3863552'],17 Jul 2015,"Action, Adventure, Comedy","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,8.0,"79,740",2015
13,Dil Chahta Hai,['0292490'],10 Aug 2001,"Comedy, Drama, Romance","Aamir Khan, Saif Ali Khan, Akshaye Khanna","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",8.1,"68,946",2001
